rank,name,symbol,price,percent_change_1h,percent_change_24h,percent_change_7d,market_cap,volume_24h,timestamp
0.0,CoinMarketCap 20 Index DTF,CMC20,167.1312471804672,0.18250925,5.74096267,1.78331069,5984370.161365575,1810028.85119899,2026-09-03 23:17:27
1.0,Bitcoin,BTC,81444.4670480079,0.31938406,5.40915769,1.85804514,1635343244862.4434,36656674230.00445,2026-09-03 23:17:27
2.0,Ethereum,ETH,2511.1173668193755,0.13501776,5.08654415,0.5082203,306394292522.25616,17277145765.248707,2026-09-03 23:17:27
3.0,Tether USDt,USDT,1.0001141237823519,0.01125901,0.04432237,0.01028093,183405264278.34097,79887680012.09311,2026-09-03 23:17:27
4.0,BNB,BNB,723.3420667508863,0.24705598,5.30659075,1.91906021,96321784620.38943,1708023342.226386,2026-09-03 23:17:27
5.0,XRP,XRP,1.4678165261534868,0.29562276,8.96938538,1.19563815,92097421147.08324,4306182288.678315,2026-09-03 23:17:27
6.0,USDC,USDC,0.9998009200821955,-0.00923317,-0.02363528,-0.02127066,74310306280.06781,15692042348.48884,2026-09-03 23:17:27
7.0,Solana,SOL,105.2757911237729,0.15317752,5.71542307,-3.39558436,61615243245.3578,3780341151.8321567,2026-09-03 23:17:27
8.0,TRON,TRX,0.33172796769274965,0.18468261,2.27284198,-1.75904762,31491799030.851818,534025647.68673986,2026-09-03 23:17:27
9.0,Hyperliquid,HYPE,86.02361778112466,1.91240783,5.94926007,1.56804922,21643384383.131042,1420885521.6118307,2026-09-03 23:17:27
10.0,Zcash,ZEC,967.3850077450854,0.62042444,18.91184231,18.43709442,16302329745.725395,1065994590.0502853,2026-09-03 23:17:27
11.0,Dogecoin,DOGE,0.08894825565420414,-0.35237873,9.1221002,0.57899718,15252707508.925306,1138547151.9019687,2026-09-03 23:17:27
12.0,Monero,XMR,517.8800579142276,-1.52230755,0.57869613,12.72463059,9736103250.971731,136627103.59537128,2026-09-03 23:17:27
13.0,Chainlink,LINK,11.85850191442646,0.48933296,6.53196463,0.02301162,8871344931.465864,384787497.4956514,2026-09-03 23:17:27
14.0,UNUS SED LEO,LEO,9.399541711044284,0.11270926,1.09695289,0.54757454,8646242247.165646,391094.66097553,2026-09-03 23:17:27
15.0,Cardano,ADA,0.2226241715405361,0.4474506,12.31807027,4.25912832,8177044959.644922,690175700.8487482,2026-09-03 23:17:27
